UMLS:C3495144:T048:DISO	Apraxias, Articulatory
UMLS:C0796013:T047:DISO	fibromatosis, gingival, with abnormal fingers, fingernails, nose and ears, and splenomegaly|laband syndrome|zimmerman laband syndrome|zls|zimmermann-laband syndrome
UMLS:C0796012:T047:DISO	peters anomaly with short-limb dwarfism|peters plus syndrome|peters anomaly with short limb dwarfism|krause-kivlin syndrome|peters-plus syndrome
UMLS:C0796010:T047:DISO	complex familial seizure disorder|kifafa seizure disorder|vitsala
UMLS:C0796005:T047:DISO	kapur-toriello syndrome|long columella with cleft lip/palate and eye, heart, and intestinal anomalies|cleft lip palate, facial, eye, heart and intestinal anomalies|kapur toriello syndrome
UMLS:C0796004:T047:DISO	kabuki make up syndrome|kabuki make-up syndrome|niikawa-kuroki syndrome|kabuki syndrome|kms
UMLS:C0796003:T047:DISO	juberg-marsidi mental retardation syndrome|x-linked hypogonadism gynecomastia mental retardation|holmes-gang syndrome|mrxhf1|sfm1|juberg marsidi syndrome|sfms|mental retardation-hypotonic facies syndrome, x-linked, 1|xlmr-hypotonic facies syndrome|chudley syndrome 1|chudley-lowry syndrome|juberg-marsidi syndrome|chudley lowry hoar syndrome|carpenter-waziri syndrome|chudley mental retardation syndrome|jms|mental retardation, x-linked, with growth retardation, deafness, and microgenitalism|smith-fineman-myers syndrome 1|mental retradation, x-linked with growth delay, deafness, microgenitalism
UMLS:C0796002:T047:DISO	alopecia-anosmia-deafness-hypogonadism syndrome|aadh syndrome|alopecia anosmia deafness hypogonadism syndrome|johnson-mcmillin syndrome|johnson neuroectodermal syndrome
UMLS:C0796001:T047:DISO	mental retardation, spasticity and transverse limb defects|mental retardation spasticity ectrodactyly|jancar syndrome|ectrodactyly, spastic paraplegia and mental retardation
UMLS:C0796000:T047:DISO	jaffe-campanacci syndrome|jaffe campanacci syndrome
UMLS:C0795998:T047:DISO	enlarged great toes and craniofacial abnormalities|jackson weiss syndrome|jws|craniosynostosis, midfacial hypoplasia, and foot abnormalities|jackson-weiss syndrome|acrocephalosyndactyly jackson weiss type
UMLS:C0795996:T047:DISO	familial striatal degeneration|ibsn|infantile striatonigral degeneration|infantile bilateral striatal necrosis|striatonigral degeneration infantile|bilateral striatal necrosis, infantile|sndi|striatal degeneration, familial|striatonigral degeneration, infantile|striatal degeneration familial
UMLS:C0795989:T047:DISO	hypospadias-mental retardation syndrome
UMLS:C0795976:T047:DISO	hirsutism skeletal dysplasia mental retardation syndrome|wiedemann oldigs oppermann syndrome
UMLS:C0795974:T047:DISO	ebm|macular type epidermolysis bullosa|hereditary macular type bullous dystrophy|bullous dystrophy, hereditary macular type|epidermolysis bullosa, macular type
UMLS:C0795970:T047:DISO	craniofacial digital genital anomalies|harrod syndrome|harrod doman keele syndrome
UMLS:C0795969:T047:DISO	cholestasis-pigmentary retinopathy-cleft palate syndrome|hardikar syndrome
UMLS:C0795966:T047:DISO	Hall Riggs syndrome
UMLS:C0795965:T047:DISO	gust|mental retardation x-linked severe gustavson type|x-linked mental retardation gustavson type|mental retardation with optic atrophy, deafness, and seizures|gustavson syndrome
UMLS:C0795959:T047:DISO	cerebellotrigeminal dermal dysplasia|glh syndrome|gomez-lopez-hernandez syndrome|gomez lopez hernandez syndrome|cerebellotrigeminal-dermal dysplasia|cerebello-trigeminal-dermal dysplasia
UMLS:C0795956:T047:DISO	disease anderson|andersons disease|andd|chylomicron retention disease|anderson disease|anderson's disease|lipid transport defect of intestine|andersons syndrome|hypobetalipoproteinemia with accumulation of apolipoprotein b-like protein in intestinal cells|cmrd
UMLS:C0795953:T047:DISO	spg1|x-linked spastic paraplegia 1|crash syndrome|mental retardation, aphasia, shuffling gait, and adducted thumbs|spastic paraplegia, type 1|gareis-mason syndrome|clasped thumb and mental retardation|thumb, congenital clasped, with mental retardation|spastic paraplegia 1, x-linked|adducted thumb with mental retardation|type 1 spastic paraplegia|mental retardation, aphasia, shuffling gait, adducted thumbs (masa)|masa (mental retardation, aphasia, shuffling gait, adducted thumbs) syndrome|masa syndrome
UMLS:C0795952:T047:DISO	aprosencephaly-atelencephaly syndrome|xk aprosencephaly|garcia-lurie syndrome|xk-aprosencephaly syndrome|xk syndrome|aprosencephaly syndrome
UMLS:C0795950:T047:DISO	corpus callosum agenesis neuronopathy|corpus callosum, agenesis of, with neuronopathy|polyneuropathy, sensorimotor, with or without agenesis of the corpus callosum|andermann syndrome|accpn|agenesis of the corpus callosum with peripheral neuropathy|charlevoix disease
UMLS:C0795949:T047:DISO	microcephaly, hiatal hernia and nephrotic syndrome|galloway-mowat syndrome|microcephaly nephrosis syndrome|galloway mowat syndrome|nephrosis neuronal dysmigration syndrome|nephrosis-neuronal dysmigration syndrome|nephrosis-microcephaly syndrome|galloway syndrome|microcephaly, hiatal hernia, and nephrotic syndrome
UMLS:C0795947:T047:DISO	subaortic stenosis short stature syndrome|onat syndrome|subaortic stenosis--short stature syndrome
UMLS:C0795944:T047:DISO	fountain syndrome|mental retardation, sensorineural deafness, skeletal abnormalities, and coarse face with full lips|mental retardation-deafnes, skeletal abnormalities, coarse face with full lips
UMLS:C0795942:T047:DISO	fitzsimmons syndrome|spastic paraplegia associated with brachydactyly type e|fitzsimmons-guilbert syndrome
UMLS:C0795941:T047:DISO	brachycephaly, deafness, cataract and mental retardation|fine-lubinsky syndrome|brachycephaly, deafness, cataract, microstomia, and mental retardation
UMLS:C0795940:T047:DISO	filippi syndrome|syndactyly type i with microcephaly and mental retardation|syndactyly, type i, with microcephaly and mental retardation
UMLS:C0795939:T047:DISO	aminopterin syndrome sine aminopterin|assa|pseudoaminopterin syndrome
UMLS:C0795936:T047:DISO	eastman bixler syndrome|eastman-bixler syndrome|faciocardiorenal syndrome
UMLS:C0795934:T047:DISO	drc syndrome|brachydactyly due to absence of distal phalanges|digitorenocerebral syndrome|eronen syndrome
UMLS:C0795933:T047:DISO	edinburgh malformation syndrome
UMLS:C0795932:T047:DISO	fontaine syndrome
UMLS:C0795927:T047:DISO	deafness, congenital onychodystrophy, recessive form|deafness, onycho-osteodystrophy, mental retardation syndrome
UMLS:C0795917:T047:DISO	hbhr|deletion-type atr|chromosome 16p deletion syndrome|atr, deletion-type|hemoglobin h-related mental retardation|deletion-type alpha-thalassemia/mental retardation syndrome|alpha-thalassemia/mental retardation syndrome, deletion-type|atr-16 syndrome|mental retardation with hemoglobin h
UMLS:C0795915:T047:DISO	curry-jones syndrome|curry jones syndrome|winter shortland temple syndrome|craniofacial malformations, asymmetric, with polysyndactyly and abnormal skin and gut development
UMLS:C0795914:T047:DISO	crome syndrome
UMLS:C0795910:T047:DISO	cmtx4|neuropathy, axonal motor-sensory with deafness and mental retardation|charcot-marie-tooth disease with deafness and mental retardation|neuropathy, axonal motor-sensory, with deafness and mental retardation|cowchock syndrome|nadmr|namsd|charcot-marie-tooth disease, x-linked recessive, 4
UMLS:C0795907:T047:DISO	conotruncal anomaly face syndrome|cafs
UMLS:C0795905:T047:DISO	cantu syndrome|hypertrichotic osteochondrodysplasia
UMLS:C0795902:T047:DISO	uveal coloboma-cleft lip/palate-mental retardation syndrome|coloboma, cleft lip/palate and mental retardation syndrome|coloboma-microphthalmos syndrome associated with sensorineural hearing loss, hematuria, and cleft lip/palate|coloboma-microphthalmos syndrome
UMLS:C0795900:T047:DISO	coffin syndrome 1|lean spastic dwarfism|lean spastic type dwarfism|dwarfism, lean spastic type
UMLS:C0795898:T047:DISO	cleft palate-lateral synechia syndrome|syngnathia|cpls syndrome
UMLS:C0795895:T047:DISO	alopecia contractures dwarfism mental retardation|acd mental retardation syndrome|alopecia-contractures-dwarfism mental retardation syndrome
UMLS:C0795891:T047:DISO	chromosome xq duplication syndrome|dup(xq) syndrome
UMLS:C0795889:T047:DISO	monocarboxylate transporter-8 deficiency|triiodothyronine resistence|allan-herndon-dudley syndrome|t3 resisitence|triiodothyronine resistance|mental retardation and muscular atrophy|ahds|allan-herndon syndrome|t3 resistance|mental retardation, x-linked, with hypotonia|monocarboxylate transporter 8 deficiency|x-linked mental retardation with hypotonia
UMLS:C0795888:T047:DISO	autsx4|autism, x-linked, susceptibility to, 4|chromosome xp22 deletion syndrome
UMLS:C0795887:T047:DISO	chromosome xp21 deletion syndrome|complex glycerol kinase deficiency
UMLS:C0795884:T047:DISO	Tetraploidy|92,XXXX syndrome|Chromosome tetraploidy syndrome|Tetraploidy syndrome
UMLS:C0795880:T047:DISO	22q deletion syndrome|22q- syndrome
UMLS:C0795878:T047:DISO	monosomy 22
UMLS:C0795877:T047:DISO	tetrasomy 21q|tetrasomy 21q chromosome 21|chromosome 21, tetrasomy 21q
UMLS:C0795875:T047:DISO	chromosome 21 monosomy|monosomy 21
UMLS:C0795873:T047:DISO	aldred syndrome|x-linked mental handicap-retinitis pigmentosa syndrome|nonspecific mental retardation associated with retinitis pigmentosa
UMLS:C0795871:T047:DISO	duplication 19q|trisomy 19q chromosome 19|chromosome 19, trisomy 19q|trisomy 19q
UMLS:C0795869:T047:DISO	Chromosome 19 ring syndrome|(19)r syndrome|R(19) syndrome
UMLS:C0795868:T047:DISO	chromosome 18, tetrasomy 18p|tetrasomy, short arm of chromosome 18|tetrasomy 18p|tetrasomy 18p chromosome 18|isochromosome 18p
UMLS:C0795865:T047:DISO	trisomy 17p|duplication 17p|chromosome 17, trisomy 17p|trisomy 17p chromosome 17
UMLS:C0795864:T047:DISO	syndrome, smith-magenis|smith magenis syndrome|sms|chromosome 17p11.2 deletion syndrome|magenis syndrome smith|smith-magenis syndrome|magenis smith syndrome
UMLS:C0795862:T047:DISO	partial monosomy 16q
UMLS:C0795861:T047:DISO	Chromosome 16, trisomy 16p|Duplication 16p|Trisomy 16p
UMLS:C0795859:T047:DISO	chromosome 15q, tetrasomy|tetrasomy 15q|tetrasomy chromosome 15q
UMLS:C0795858:T047:DISO	trisomy chromosome 15q|trisomy 15q|duplication 15q|chromosome 15q, trisomy
UMLS:C0795856:T047:DISO	trisomy 15|15 trisomies
UMLS:C0795855:T047:DISO	chromosome 15 ring syndrome|ring chromosome 15 syndrome
UMLS:C0795851:T047:DISO	trisomy 14|chromosome 14 trisomy|14 trisomy|trisomy mosaic 14
UMLS:C0795850:T047:DISO	chromosome 14 uniparental disomy
UMLS:C0795849:T047:DISO	chromosome 13q trisomy|duplication 13q|trisomy 13q|13q syndrome
UMLS:C0795848:T047:DISO	akesson syndrome|cutis verticis gyrata, thyroaplasia and mental deficiency syndrome|cutis verticis gyrata-thyroid aplasia-mental retardation syndrome
UMLS:C0795847:T047:DISO	Ring chromosome 13 syndrome
UMLS:C0795846:T047:DISO	chromosome 12, trisomy 12q|trisomy 12q chromosome 12|duplication 12q|trisomy 12q
UMLS:C0795845:T047:DISO	partial trisomy 12p|duplication 12p|12p trisomy chromosome 12|chromosome 12, 12p trisomy|trisomy 12p
UMLS:C0795844:T047:DISO	deletion 12p|chromosome 12p deletion|monosomy 12p
UMLS:C0795843:T047:DISO	chromosome 12 ring|ring chromosome 12
UMLS:C0795842:T047:DISO	11q syndrome|duplication 11q|chromosome 11q trisomy|trisomy 11q
UMLS:C0795841:T047:DISO	paris trousseau syndrome|jbs|syndrome, paris-trousseau|11q deletion disorder|11q terminal deletion disorder|syndrome, jacobsen|deletion disorder, 11q|disorder, 11q deletion|jacobsen distal 11q deletion syndrome|paris-trousseau syndrome|syndrome, 11q deletion|jacobsen syndrome|chromosome 11q deletion syndrome|11q deletion syndrome|partial 11q monosomy syndrome
UMLS:C0795840:T047:DISO	chromosome 10q duplication syndrome|partial trisomy 10q|10q duplication syndrome
UMLS:C0795839:T047:DISO	monosomy 10q chromosome 10|chromosome 10, monosomy 10q|terminal deletion of chromosome 10q|10q- deletion|monosomy 10q|deletion 10q|chromosome 10q deletion syndrome
UMLS:C0795837:T047:DISO	trisomy 10p chromosome 10|chromosome 10, trisomy 10p|duplication 10p|trisomy 10p
UMLS:C0795836:T047:DISO	chromosome 10, monosomy 10p|chromosome 10, 10p- partial|monosomy 10p|monosomy 10p chromosome 10|chromosome 10, partial deletion (short arm)|partial deletion (short arm) chromosome 10|10p- partial chromosome 10
UMLS:C0795834:T047:DISO	9q syndrome|chromosome 9, trisomy 9q|trisomy 9q chromosome 9|duplication 9q|trisomy 9q
UMLS:C0795833:T047:DISO	kleefstra syndrome|9q subtelomeric deletion syndrome|chromosome 9q34.3 deletion syndrome|9q- syndrome
UMLS:C0795832:T047:DISO	tetrasomy 9p mosaicism chromosome 9|chromosome 9, tetrasomy 9p|chromosome 9, tetrasomy 9p mosaicism|mosaic tetrasomy 9p|tetrasomy 9p|tetrasomy, short arm of chromosome 9|tetrasomy 9p chromosome 9
UMLS:C0795830:T047:DISO	partial monosomy 9p|chromosome 9, monosomy 9p|9p- syndrome|monosomy 9p|monosomy 9p chromosome 9|chromosome 9p deletion syndrome|monosomy 9p syndrome|chromosome deletion 9p syndrome|9p deletion chromosome syndrome|deletion 9p syndrome|9p monosomy
UMLS:C0795829:T047:DISO	chromosome 8, trisomy 8q|trisomy 8q|trisomy 8q chromosome 8|duplication 8q
UMLS:C0795828:T047:DISO	deletion 8q|monosomy 8q|monosomy 8q chromosome 8|chromosome 8, monosomy 8q
UMLS:C0795825:T047:DISO	8p trisomy|partial trisomy 8p|trisomy 8p|duplication 8p|chromosome 8, trisomy 8p|8p partial trisomy|trisomy 8p chromosome 8
UMLS:C0795824:T047:DISO	deletion 8p|monosomy 8p|monosomy 8p chromosome 8|chromosome 8, monosomy 8p
UMLS:C0795822:T047:DISO	8 recombinant syndrome|chromosome 8q22.1-qter duplication and 8pter-p23.1 deletion|recombinant chromosome 8 syndrome|rec8 syndrome|recombinant 8 syndrome|san luis valley recombinant chromosome 8 syndrome|san luis valley syndrome
UMLS:C0795821:T047:DISO	chromosome 7, trisomy 7q|trisomy 7q|duplication 7q|trisomy 7q chromosome 7
UMLS:C0795820:T047:DISO	trisomy 7p chromosome 7|chromosome 7, trisomy 7p|7p trisomy|trisomy 7p|duplication 7p
UMLS:C0795818:T047:DISO	ring chromosome 7 syndrome|chromosome 7 ring syndrome
UMLS:C0795817:T047:DISO	chromosome 6, partial trisomy 6q|chromosome 6, trisomy 6q2|partial trisomy 6q|trisomy 6q, partial|partial trisomy 6q chromosome 6|trisomy 6q2 chromosome 6|distal duplication 6q
UMLS:C0795816:T047:DISO	monosomy 6q chromosome 6|chromosome 6, monosomy 6q|monosomy 6q|deletion 6q
UMLS:C0795814:T047:DISO	ring chromosome 6 syndrome|chromosome 6 ring syndrome
UMLS:C0795812:T047:DISO	trisomy 4q|chromosome 4q trisomy|trisomy 4q chromosome 4|duplication 4q|chromosome 4, trisomy 4q|4q syndrome
UMLS:C0795809:T047:DISO	chromosome 3, trisomy 3q|trisomy 3q|3q duplication syndrome|duplication 3q|trisomy 3q chromosome 3
UMLS:C0795808:T047:DISO	3q deletion syndrome|chromosome 3q deletion syndrome
UMLS:C0795807:T047:DISO	trisomy 3p chromosome 3|trisomy 3p|chromosome 3, trisomy 3p|duplication 3p
UMLS:C0795806:T047:DISO	deletion 3p syndrome|monosomy 3p chromosome 3|monosomy 3p|3p- syndrome|deletion 3p|chromosome 3, monosomy 3p|deletion 3p chromosome 3|chromosome 3p deletion syndrome|chromosome 3pter-p25 deletion syndrome|chromosome 3, deletion 3p
UMLS:C0795805:T047:DISO	trisomy 2q|duplication 2q|chromosome 2, trisomy 2q|trisomy 2q chromosome 2
UMLS:C0795804:T047:DISO	monosomy 2q chromosome 2|chromosome 2, monosomy 2q|deletion 2q|monosomy 2q
UMLS:C0795803:T047:DISO	duplication 2p|trisomy 2p|trisomy 2p chromosome 2|chromosome 2, trisomy 2p
UMLS:C0795801:T047:DISO	trisomy 2|2 trisomy|chromosome 2 trisomy syndrome
UMLS:C0795800:T047:DISO	partial trisomy 1q
UMLS:C0795799:T047:DISO	deletion 1q syndrome|monosomy 1q
UMLS:C0795797:T047:DISO	1p trisomy|trisomy 1p
UMLS:C0795796:T047:DISO	1p chromosome deletion syndrome|deletion 1p|monosomy 1p|chromosome 1, monosomy 1p|monosomy 1p chromosome 1|chromosome 1p deletion syndrome
UMLS:C0795793:T047:DISO	chorioretinal dysplasia-microcephaly-mental retardation syndrome
UMLS:C0795703:T047:DISO	Recurrent apnea
UMLS:C0795702:T047:DISO	acute mastoiditis without complications
UMLS:C0795690:T047:DISO	omphalocele|omphalocoele|omphaloceles
UMLS:C0795688:T046:DISO	Subarachnoid Hemorrhage, Intracranial
UMLS:C0795687:T046:DISO	Cerebral thrombosis
UMLS:C0795686:T047:DISO	meningitis due to trypanosomiasis
UMLS:C0795684:T047:DISO	meningovascular syphilis
UMLS:C0752357:T047:DISO	attributes, disease|disease attribute|attribute, disease|disease attributes
UMLS:C0752355:T047:DISO	myotonia fluctuans|fluctuans, myotonia
UMLS:C0752354:T047:DISO	myotonic myopathy, proximal|myopathy, proximal myotonic|promms (proximal myotonic myopathy)|myotonic myopathies, proximal|promm (proximal myotonic myopathy)|proximal myotonic myopathy|myopathies, proximal myotonic|promm|proximal myotonic myopathies
UMLS:C0752353:T047:DISO	atrophies, spinobulbar|muscular atrophy, spinobulbar|atrophies, spinobulbar muscular|atrophy, spinobulbar muscular|atrophy, spinobulbar|muscular atrophies, spinobulbar|spinobulbar muscular atrophies|spinobulbar atrophy|spinobulbar atrophies|atrophy, muscular, spinobulbar|spinobulbar muscular atrophy
UMLS:C0752352:T047:DISO	atrophic muscular disorders|atrophic muscular disorder|muscular disorders, atrophic|disorders, atrophic muscular|disorder, atrophic muscular|muscular disorder, atrophic
UMLS:C0752351:T046:DISO	Embryo Loss
UMLS:C0752350:T046:DISO	Embryo Death
UMLS:C0752347:T047:DISO	lewy body disease|bodies dementias lewy|lewy bodies dementia|lewy body dementia|lewy body disease, diffuse|dementia, lewy body|dlb|bodies disease lewy|diffuse lewy body disease|dementia lewy bodies|lewy body disease, cortical|bodies dementia lewy|cortical lewy body disease|body disease lewis|lewy body type senile dementia|body dementia lewis|body disease lewy|body diseases lewy|dementia with lewy bodies|body lewy dementia|body disease lewi|body dementia lewi|body dementia lewy
UMLS:C0752342:T047:DISO	neuroaspergillosis|neuroaspergilloses
UMLS:C0752341:T047:DISO	nervous system invasive aspergillosis|aspergillosis, nervous system invasive
UMLS:C0752335:T047:DISO	neuropsychiatric systemic lupus erythematosus
UMLS:C0752334:T047:DISO	meningoencephalitides, lupus|lupus meningoencephalitides|lupus meningoencephalitis|meningoencephalitis, lupus
UMLS:C0752332:T047:DISO	lupus vasculitis, central nervous system|systemic lupus erythematosis, central nervous system|cns sle|lupus central nervous system|central nervous system systemic lupus erythematosis|lupus cns|cns lupus|central nervous system lupus|central nervous system lupus vasculitis
UMLS:C0752331:T047:DISO	cns vasculitis, hiv associated|hiv-1-associated cns vasculitis|hiv-1-associated cns vasculitides|hiv 1 associated cns vasculitis|vasculitis of the central nervous system, hiv associated|hiv-associated vasculitis of the central nervous system|vasculitis, hiv-1-associated cns|hiv associated vasculitis of the central nervous system|cns vasculitides, hiv-1-associated|hiv-associated cns vasculitis|vasculitis, hiv-associated cns|cns vasculitides, hiv-associated|vasculitides, hiv-associated cns|cns vasculitis, hiv-associated|cns vasculitis, hiv-1-associated|hiv-associated cns vasculitides|vasculitides, hiv-1-associated cns|vasculitis of the central nervous system, hiv-associated
UMLS:C0752330:T047:DISO	aids arteritis, central nervous system|central nervous system aids arteritis
UMLS:C0752329:T047:DISO	aids-associated cerebral aneurysmal arteriopathy|aids associated cerebral aneurysmal arteriopathy|cerebral aneurysmal arteriopathy, aids associated|cerebral aneurysmal arteriopathy, aids-associated
UMLS:C0752327:T047:DISO	antenatal myasthenia gravis|myasthenia gravis, antenatal
UMLS:C0752325:T047:DISO	seizure disorders, hemimotor|seizure disorder, hemimotor|hemimotor epilepsies|hemimotor seizure disorders|epilepsy, hemimotor|hemimotor seizure disorder|hemimotor epilepsy
UMLS:C0752324:T047:DISO	tonic seizure, focal|focal tonic seizure|focal tonic seizures|tonic seizures, focal
UMLS:C0752323:T047:DISO	focal clonic seizure|clonic seizures, focal|focal clonic seizures|seizure, focal clonic
UMLS:C0752322:T047:DISO	sensory seizure disorders|partial epilepsy, sensory|sensory partial seizure disorder|focal seizure disorder, sensory|seizure disorders, sensory|seizure disorder, sensory|epilepsy, sensory partial|sensory focal seizure disorder|seizure disorder, sensory, focal|sensory seizure disorder|sensory partial epilepsy|epilepsy, partial, sensory|seizure disorder, partial, sensory
UMLS:C0752308:T047:DISO	brain hypoxia-ischemias|hypoxia-ischemias, brain|hypoxia ischemia, brain|ischemia-hypoxias, brain|ischemia-hypoxia, brain|brain hypoxia ischemia|brain ischemia hypoxia|ischemia hypoxia, brain|brain ischemia-hypoxias|brain ischemia-hypoxia|brain hypoxia-ischemia|hypoxia-ischemia, brain
UMLS:C0752307:T047:DISO	ischemia-anoxia, cerebral|cerebral ischemia-anoxia|anoxia-ischemia, cerebral|cerebral anoxia-ischemia|ischemia anoxia, cerebral|cerebral ischemia anoxia|anoxia ischemia, cerebral|cerebral anoxia ischemia|cerebral anoxia-ischemias|ischemia-anoxias, cerebral|cerebral ischemia-anoxias|anoxia-ischemias, cerebral
UMLS:C0752306:T047:DISO	ischemia anoxia, brain|brain anoxia-ischemia|anoxia-ischemia, brain|brain anoxia ischemia|brain anoxia-ischemias|ischemia-anoxias, brain|brain ischemia anoxia|ischemia-anoxia, brain|anoxia ischemia, brain|anoxia-ischemias, brain|brain ischemia-anoxias|brain ischemia-anoxia
UMLS:C0752305:T047:DISO	anoxic-ischemic encephalopathies|anoxic-ischemic encephalopathy|encephalopathy, anoxic-ischemic|anoxic ischemic encephalopathy|encephalopathy, anoxic ischemic|encephalopathies, anoxic-ischemic
UMLS:C0752304:T047:DISO	hypoxic-ischemic encephalopathy (hie)|encephalopathy, ischemic-hypoxic|hypoxic-ischemic encephalopathies|encephalopathies, ischemic-hypoxic|hypoxic ischemic encephalopathy|hypoxic ischemic brain injury|encephalopathies, hypoxic-ischemic|ischemic-hypoxic encephalopathy|encephalopathy hypoxic ischemic|hypoxic-ischemic encephalopathy|encephalopathy, hypoxic ischemic|ischemic hypoxic encephalopathy|encephalopathy hypoxic-ischemic|ischemic-hypoxic encephalopathies|encephalopathy, hypoxic-ischemic
UMLS:C0752302:T047:DISO	rem sleep related sinus arrest|sinus arrest, rem sleep related|rem sleep-related sinus arrest|sinus arrest, rem sleep-related
UMLS:C0752301:T047:DISO	rem sleep parasomnia|parasomnia, rem sleep|rapid eye movement sleep parasomnias|sleep, rem, parasomnias|parasomnias, rem sleep|rem sleep parasomnias
UMLS:C0752300:T047:DISO	somnolescent starts|starts, somnolescent
UMLS:C0752299:T048:DISO	Sleep-Wake Transition Disorder
UMLS:C0752298:T047:DISO	movement disorders, rhythmic nocturnal|rhythmic movement disorders, nocturnal|rhythmic nocturnal movement disorders|nocturnal rhythmic movement disorders
UMLS:C0752297:T047:DISO	nocturnal sleep head banging|nocturna, jactatio capitis|jactatio capitis nocturna
UMLS:C0752295:T048:DISO	Confusional arousal
UMLS:C0752294:T047:DISO	arousal disorder, sleep|sleep arousal disorders|sleep arousal disorder|arousal disorders, sleep
UMLS:C0752293:T047:DISO	extrinsic sleep disorder|sleep disorders, extrinsic|extrinsic sleep disorders|sleep disorder, extrinsic
UMLS:C0752292:T048:DISO	Nocturnal Eating-Drinking Syndrome
UMLS:C0752291:T048:DISO	Limit-setting sleep disorder
UMLS:C0752290:T047:DISO	sleep hygiene, inadequate|inadequate sleep hygiene
UMLS:C0752289:T047:DISO	sleep disorder, environmental|environmental sleep disorders|sleep disorders, environmental|environmental sleep disorder
UMLS:C0752288:T048:DISO	Adjustment Sleep Disorder
UMLS:C0752287:T047:DISO	intrinsic sleep disorder|sleep disorders, intrinsic|intrinsic sleep disorders|sleep disorder, intrinsic
UMLS:C0752286:T048:DISO	Sleep state misperception
UMLS:C0752285:T047:DISO	posttraumatic hypersomnias|post-traumatic hypersomnia|hypersomnias, posttraumatic|posttraumatic hypersomnia|hypersomnia, posttraumatic|hypersomnia, post traumatic|hypersomnia, post-traumatic|post-traumatic hypersomnias|hypersomnias, post-traumatic
UMLS:C0752282:T047:DISO	myopathies, structural, congenital|congenital non-progressive myopathy|congenital non-progressive myopathies|myopathy, congenital structural|non-progressive myopathies, congenital|myopathy, congenital non-progressive|myopathies, congenital structural|congenital structural myopathy|structural myopathies, congenital|centronuclear myopathy|myopathies, congenital non-progressive|non progressive myopathies, congenital|congenital non progressive myopathies|structural myopathy, congenital|congenital structural myopathies|non-progressive myopathy, congenital
UMLS:C0752262:T047:DISO	somatic sensation disorders|sensation disorders, somatic|somatosensory disorders|somatic sensation disorder|somatosensory disorder|sensation disorder, somatic
UMLS:C0752261:T047:DISO	thermal sensation disorders|sensation disorder, thermal|sensation disorders, thermal|thermal sensation disorder
UMLS:C0752258:T047:DISO	position sense disorders|sense disorders, position|position sense disorder|sense disorder, position
UMLS:C0752244:T047:DISO	cleft cysts, rathke's|suprasellar cysts|rathke cleft cysts|cysts, rathke cleft|cleft cyst rathke's|rathke's cleft cysts|cyst of rathke's pouch|rathke's cleft cyst|cysts, suprasellar|cyst of rathke pouch|cyst, suprasellar|cleft cyst rathkes|rathke pouch cyst|suprasellar cyst|rathkes cleft cysts|rathke cleft cyst|rathke's pouch cyst
UMLS:C0752241:T047:DISO	peripheral nervous system lyme disease
UMLS:C0752240:T047:DISO	lyme polyradiculopathies|lyme polyradiculopathy|polyradiculopathies, lyme|polyradiculopathy, lyme
UMLS:C0752239:T047:DISO	polyradiculitides, lyme|lyme polyradiculitis|lyme polyradiculitides|polyradiculitis, lyme
UMLS:C0752238:T047:DISO	lyme meningoradiculitis|meningoradiculitis, lyme
UMLS:C0752237:T047:DISO	lyme disease, central nervous system|central nervous system lyme disease
UMLS:C0752236:T047:DISO	lyme disease mononeuritis multiplex|mononeuritis multiplex, lyme disease
UMLS:C0752235:T047:DISO	bannworth's syndrome|nervous system lyme disease|lyme borreliosis, nervous system|borrelia burgdorferi neuroborreliosis|nervous system lyme borreliosis|bannwarth syndrome|borrelia burgdorferi neuroborrelioses|neurological lyme disease|neuroborrelioses, borrelia burgdorferi|bannworth syndrome|lyme disease, nervous system|neuroborreliosis, borrelia burgdorferi|lyme neuroborreliosis|neuroborreliosis, lyme
UMLS:C0752234:T047:DISO	encephalopathy, lyme disease|encephalopathies, lyme disease|lyme disease encephalopathies|lyme disease encephalopathy
UMLS:C0752216:T047:DISO	pseudobulbar mutisms|mutisms, pseudobulbar|mutism, pseudobulbar|pseudobulbar mutism
UMLS:C0752210:T047:DISO	paroxysmal dyskinesias|dyskinesia, paroxysmal|dyskinesias, paroxysmal|paroxysmal dyskinesia
UMLS:C0752208:T048:DISO	Pseudodystonia
UMLS:C0752207:T047:DISO	dystonias, familial|familial dystonias|familiar dystonia|dystonias, hereditary|dystonia, hereditary|hereditary dystonias|familial dystonia|dystonia, familial|hereditary dystonia
UMLS:C0752206:T047:DISO	sporadic dystonia|dystonia, sporadic|dystonias, sporadic|sporadic dystonias
UMLS:C0752205:T047:DISO	dystonia, secondary|secondary dystonia|dystonias, secondary|secondary dystonias
UMLS:C0752203:T047:DISO	dystonias, primary|primary dystonia|dystonia, primary|primary dystonias|dystonia primary
UMLS:C0752202:T047:DISO	childhood onset dystonia|dystonias, childhood onset|childhood onset dystonias|dystonia, childhood onset
UMLS:C0752201:T047:DISO	familial dystonia, autosomal recessive|autosomal recessive familial dystonia
UMLS:C0752200:T047:DISO	familial dystonia, autosomal dominant|autosomal dominant familial dystonia
UMLS:C0752199:T047:DISO	adult onset idiopathic torsion dystonias|adult-onset idiopathic torsion dystonias
UMLS:C0752198:T047:DISO	adult onset idiopathic focal dystonias|adult-onset idiopathic focal dystonias
